#;Status;Priority;Subjet;Resource;Tipo de Asset;Updated;Last Seen;Date Found;CVSS Score de la Herramienta;CVSS Score;Puntaje Ponderado;Pertenece a Investments;Negocio
82551;Confirmed;Medium;vsftpd < 3.0.3 Backdoor Command Execution;8.116.210.140:17840;IP Interna;14-05-2024;30-09-2024;17-01-2025;48;61;Si;No;
20674;Reopened;Low;Permisos de /etc/shadow DŽbiles;14.64.202.164:4587;IP Externa;13-08-2025;16-09-2024;21-05-2025;32;26;Si;No;
84715;Confirmed;Medium;Soporte para 'Null Sessions' de SMB Habilitado;10.220.150.75:24339;IP Externa;16-03-2024;25-08-2024;01-04-2024;43;65;Si;No;
59401;Confirmed;Low;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;10.220.30.41:52909;IP Externa;15-03-2024;17-02-2025;27-01-2024;29;25;Si;No;
18612;Confirmed;Medium;Node.js < 16.10.0 Vulnerabilidad de Contrabando de HTTP;108.203.149.248:20489;IP Externa;22-04-2025;03-08-2025;24-05-2024;44;68;Si;No;
60509;Confirmed;Low;Dispositivo de Red: Interfaz de Administraci—n Expuesta a Internet;14.64.202.164:25755;IP Externa;28-10-2025;16-12-2024;05-05-2025;12;15;Si;No;
23526;Confirmed;Low;SSL/TLS: Certificado con Firma SHA-1 Obsoleta;192.168.146.62:28960;IP Interna;21-05-2025;20-04-2025;19-09-2025;11;37;Si;No;
75705;Mitigated;Low;SNMP Agent 'public' Community String Habilitado (Lectura);192.168.209.24:8180;IP Externa;01-07-2025;23-01-2024;24-02-2025;22;27;Si;No;
40787;Reopened;Low;Apache HTTP Server < 2.4.51 Vulnerabilidad de Path Traversal;192.168.151.176:29752;IP Externa;04-04-2024;28-02-2024;15-08-2024;38;25;Si;No;
16511;Mitigated;Critical;DNS Server Permite Transferencias de Zona (AXFR);10.220.43.181:50144;IP Interna;09-10-2024;18-02-2025;07-09-2024;96;97;Si;No;
87937;Confirmed;Medium;Servicio de 'Windows Update' Deshabilitado;10.220.56.244:19491;IP Externa;15-10-2024;30-04-2024;06-11-2024;58;45;Si;No;
47364;Confirmed;Medium;Splunk < 8.2.2 Vulnerabilidades Mœltiples;115.204.153.146:14426;IP Externa;04-11-2024;24-06-2024;10-12-2024;44;44;Si;No;
32147;Confirmed;Medium;SNMP Agent 'private' Community String Habilitado (Escritura);http://cloudsys.cl/fw88ayi;IP Interna;04-12-2024;17-05-2025;20-12-2024;54;45;Si;No;
63393;Confirmed;Low;SSL/TLS: Certificado Expirado;10.220.124.229:53912;IP Interna;17-07-2024;12-03-2024;11-06-2024;37;23;Si;No;
32553;Mitigated;High;VMware ESXi < 6.7 P05 Vulnerabilidad 'VMCA' (CVE-2021-21975);10.220.150.155:20733;IP Externa;20-07-2024;17-01-2024;13-11-2024;79;73;Si;No;
94933;Confirmed;Low;Splunk < 8.2.2 Vulnerabilidades Mœltiples;192.168.58.183:56217;IP Interna;12-09-2024;16-07-2024;17-10-2024;22;38;Si;No;
35746;Reopened;Low;SSL/TLS: Compresi—n (CRIME) Habilitada;3.51.163.187:33867;IP Externa;06-08-2024;07-04-2024;02-01-2024;23;30;Si;No;
14325;Reopened;Low;Encabezado 'X-Frame-Options' No Encontrado (Clickjacking);223.1.71.89:13684;IP Externa;09-09-2025;01-09-2024;02-08-2025;16;16;No;No;
20321;Confirmed;Medium;Microsoft Windows Server: Missing Security Update (ZeroLogon);192.168.104.5:25652;IP Externa;25-07-2025;26-02-2024;16-01-2024;45;54;Si;No;
55462;Mitigated;Medium;SNMP Agent 'private' Community String Habilitado (Escritura);26.74.47.184:6580;IP Externa;28-07-2025;17-09-2024;12-09-2024;52;51;Si;No;
69953;Confirmed;Low;Splunk < 8.2.2 Vulnerabilidades Mœltiples;10.220.124.229:48915;IP Interna;12-06-2024;28-10-2025;18-08-2024;21;22;Si;No;
79355;Confirmed;Medium;Atlassian Confluence Server < 7.12.3 Remote Code Execution (OGNL);192.168.9.60:10862;IP Externa;23-08-2025;26-09-2024;27-01-2024;44;60;Si;No;
59585;Confirmed;High;Servicio 'Telnet' Habilitado;10.220.111.196:57649;IP Externa;28-04-2025;20-08-2025;18-06-2025;85;86;Si;No;
56512;Confirmed;Low;Dispositivo de Red: Contrase–a por Defecto Habilitada (admin/admin);10.220.4.66:13270;IP Externa;06-10-2025;29-08-2025;21-10-2024;31;15;Si;No;
99233;Mitigated;Medium;Apache HTTP Server < 2.4.51 Vulnerabilidad de Path Traversal;120.157.91.226:38049;IP Externa;01-10-2024;07-02-2025;30-06-2024;48;45;Si;No;
28615;Confirmed;Medium;Microsoft IIS Server Mœltiples Vulnerabilidades (HTP.sys);192.168.85.200:58641;IP Externa;30-06-2024;17-05-2024;22-10-2024;42;42;No;No;
42072;Reopened;Medium;Microsoft Windows SMBv3 Remote Code Execution (EternalBlue);56.239.45.72:56312;IP Externa;12-02-2025;20-04-2024;19-07-2024;69;41;Si;No;
32061;Confirmed;Low;SSL/TLS: Vulnerabilidad 'CRIME';192.168.146.62:55433;IP Externa;22-01-2024;02-10-2025;20-05-2025;35;28;Si;No;
26485;Confirmed;Low;Drupal < 9.2.6 Vulnerabilidades Mœltiples;10.220.75.246:60418;IP Externa;05-08-2025;15-08-2024;23-02-2024;24;27;Si;No;
32178;Confirmed;High;SSLv3 Protocolo Obsoleto Habilitado (POODLE);10.220.133.172:4143;IP Externa;24-02-2024;14-09-2024;19-10-2024;83;87;Si;No;
85560;Mitigated;Low;Wordpress < 5.8.1 Vulnerabilidades Mœltiples;184.139.16.154:48897;IP Externa;27-08-2024;08-04-2025;16-05-2025;28;27;Si;No;
61403;Confirmed;Low;SSL/TLS: Certificado Expirado;192.168.141.9:54405;IP Externa;04-04-2025;16-01-2024;13-11-2024;44;44;Si;No;
28172;Reopened;High;Adobe Acrobat Reader < 2021.005.20060 Vulnerabilidades Mœltiples;192.168.165.164:53448;IP Externa;11-05-2024;01-08-2025;25-06-2024;70;88;Si;No;
51581;Confirmed;Medium;SNMP Agent 'private' Community String Habilitado (Escritura);192.168.158.175:14184;IP Externa;01-02-2025;27-09-2024;05-06-2024;65;53;Si;No;
75057;Confirmed;Low;Vim < 8.2.3435 Vulnerabilidad 'Arbitrary Code Execution';10.220.215.206:29193;IP Interna;25-03-2025;12-05-2024;11-08-2025;23;14;Si;No;
55322;Mitigated;Medium;SSL/TLS: Certificado Expirado;192.168.150.212:34330;IP Interna;16-08-2025;27-09-2025;17-02-2025;68;54;Si;No;
28351;Mitigated;Medium;Servicio 'rlogin/rsh' Habilitado;10.220.171.138:42333;IP Externa;03-02-2024;15-02-2024;01-05-2025;44;44;Si;No;
83511;Confirmed;Medium;SSL/TLS: Mismatch en el Nombre del Certificado (CN);10.220.220.103:44894;IP Interna;05-06-2024;17-10-2024;31-03-2024;56;47;Si;No;
68289;Confirmed;Medium;PUT y DELETE HTTP Habilitados en Servidor Web;10.220.55.43:8237;IP Externa;18-10-2024;05-08-2024;17-06-2024;40;68;Si;No;
39696;Confirmed;Critical;Linux Kernel < 5.10.4 Vulnerabilidad de Dirty Pipe;http://logisticaCL.cl/fwxzuci;IP Externa;29-08-2024;06-11-2024;23-04-2024;92;91;Si;No;
91336;Mitigated;Medium;Servidor SMTP Permite 'Open Relay';97.232.160.194:21928;IP Externa;02-03-2024;07-10-2024;28-04-2025;55;54;Si;No;
11706;Mitigated;Medium;Splunk < 8.2.2 Vulnerabilidades Mœltiples;29.87.111.178:27899;IP Externa;20-05-2024;04-03-2024;09-09-2024;49;48;Si;No;
68060;Confirmed;Medium;TLSv1.1 Protocolo Obsoleto Habilitado;45.192.207.220:53342;IP Externa;04-02-2025;19-03-2025;03-07-2024;56;67;Si;No;
97469;Confirmed;Low;Microsoft Windows SMBv3 Remote Code Execution (EternalBlue);192.168.184.237:58220;IP Externa;07-08-2025;04-02-2024;22-07-2024;23;11;Si;No;
69002;Reopened;Critical;GitLab < 14.1.2 Remote Code Execution;192.168.92.198:33805;IP Interna;20-07-2024;07-01-2024;03-02-2024;95;90;Si;No;
85880;Mitigated;Critical;DNS Server Cache Snooping Remoto;10.220.105.226:16736;IP Externa;08-10-2024;08-10-2024;28-05-2024;93;94;Si;No;
64182;Reopened;Critical;Apache HTTP Server < 2.4.51 Vulnerabilidad de Path Traversal;192.168.92.198:5928;IP Interna;26-08-2024;19-09-2024;19-03-2024;92;98;Si;Si;
42784;Confirmed;Low;OpenSSL < 1.1.1l Vulnerabilidades Mœltiples;https://sistemasweb.cl/ae9kjfr;IP Externa;27-06-2024;12-02-2024;10-04-2024;15;15;No;Si;
46890;Confirmed;Medium;Atlassian Jira Server < 8.13.6 Vulnerabilidad de Inyecci—n de Plantillas;45.192.207.220:25314;IP Interna;01-03-2024;16-06-2025;23-08-2024;40;61;Si;Si;
17769;Mitigated;Medium;Servidor SMTP Expone Usuarios (VRFY / EXPN);https://metrics.cl/2uvrrexw1l;IP Externa;02-02-2024;16-04-2024;26-07-2024;42;42;No;Si;
42019;Confirmed;Medium;SNMP Agent 'public' Community String Habilitado (Lectura);192.168.216.9:23602;IP Externa;19-03-2024;14-05-2024;11-11-2024;45;64;Si;No;
47920;Confirmed;High;Splunk < 8.2.2 Vulnerabilidades Mœltiples;10.220.26.114:58713;IP Externa;08-02-2024;23-03-2024;26-10-2025;74;72;Si;No;
74560;Confirmed;Medium;Servicio 'rlogin/rsh' Habilitado;192.168.223.23:5661;IP Externa;19-08-2024;29-08-2024;28-07-2024;60;46;Si;No;
25068;Mitigated;High;Python < 3.9.7 Vulnerabilidades Mœltiples;10.220.107.124:33714;IP Interna;29-03-2024;19-01-2024;02-03-2024;78;71;Si;No;
17699;Confirmed;Informational;Servidor FTP Permite Login An—nimo;192.168.178.131:7558;IP Externa;18-06-2024;16-07-2024;14-01-2024;0;0;No;No;
15196;Confirmed;Critical;Java JRE < 8u301 Vulnerabilidades Mœltiples;192.168.224.137:31744;IP Externa;18-04-2025;29-05-2024;03-06-2025;95;98;Si;No;
75225;Confirmed;High;Vim < 8.2.3435 Vulnerabilidad 'Arbitrary Code Execution';222.160.134.127:42514;IP Externa;08-01-2024;06-07-2024;17-02-2024;71;88;Si;No;
12311;Confirmed;Low;Oracle WebLogic Server < 14.1.1.0.0 Vulnerabilidad de Deserializaci—n (CVE-2020-14882);http://cloudsys.cl/kpm15nr8t85;IP Externa;08-03-2024;03-04-2025;30-08-2024;24;18;Si;No;
65817;Confirmed;Informational;Encabezado 'X-Content-Type-Options' No Encontrado (MIME Sniffing);10.220.28.236:11275;IP Externa;19-11-2024;21-06-2024;26-09-2024;0;0;No;No;
96165;Confirmed;High;Drupal < 9.2.6 Vulnerabilidades Mœltiples;20.68.149.122:3854;IP Interna;10-06-2025;13-07-2024;03-08-2024;71;77;Si;No;
53321;Confirmed;Low;Wordpress < 5.8.1 Vulnerabilidades Mœltiples;120.157.91.226:38049;IP Externa;20-04-2025;10-04-2024;28-06-2025;25;27;Si;No;
87167;Mitigated;High;ProFTPD < 1.3.6 Vulnerabilidades Mœltiples;10.220.135.106:64684;IP Externa;19-05-2025;27-05-2024;01-03-2025;89;81;Si;No;
40327;Mitigated;Medium;TLSv1.1 Protocolo Obsoleto Habilitado;152.84.50.74:1983;IP Externa;09-02-2024;19-10-2024;01-10-2024;52;41;Si;No;
78254;Reopened;Medium;SSL/TLS: Certificado Expirado;192.168.160.106:34636;IP Interna;01-09-2025;08-07-2024;29-06-2024;58;66;Si;No;
49076;Mitigated;Medium;Servidor SMTP Expone Usuarios (VRFY / EXPN);192.168.160.106:34636;IP Interna;19-10-2024;13-09-2024;01-02-2025;64;65;Si;No;
84399;Confirmed;Low;Adobe Acrobat Reader < 2021.005.20060 Vulnerabilidades Mœltiples;10.220.210.135:6205165;IP Interna;03-02-2025;24-11-2024;12-04-2024;10;15;Si;No;
55367;Mitigated;Low;Samba < 4.13.17 Vulnerabilidades Mœltiples (SambaCry);192.168.36.110:17739;IP Interna;09-11-2024;08-09-2024;06-10-2025;14;37;Si;Si;
90390;Confirmed;High;Oracle Database: Mœltiples Vulnerabilidades (CPU Julio 2021);10.220.144.224:45202;IP Externa;16-10-2024;11-08-2025;22-07-2025;86;79;Si;Si;
59608;Confirmed;Medium;SSL/TLS: Cifrados 'Logjam' (Export-grade) Habilitados;156.67.74.154:49065;IP Externa;05-04-2024;15-09-2024;09-11-2024;60;40;Si;Si;
89859;Confirmed;Medium;SSL/TLS: Vulnerabilidad 'CRIME';10.220.255.110:28098;IP Interna;26-03-2024;21-06-2024;18-04-2025;57;58;Si;No;
81109;Confirmed;Low;Microsoft Exchange Server Remote Code Execution (ProxyShell);115.204.153.146:48706;IP Interna;08-08-2024;13-05-2024;19-02-2024;12;32;Si;Si;
56792;Confirmed;High;SNMP Agent 'private' Community String Habilitado (Escritura);222.160.134.127:25631;IP Externa;28-05-2024;11-01-2024;18-03-2024;77;74;Si;No;
76979;Mitigated;Low;Dispositivo de Red: Contrase–a por Defecto Habilitada (admin/admin);10.220.102.183:14243;IP Externa;29-05-2024;15-03-2025;12-03-2024;21;23;Si;No;
36692;Confirmed;Low;ProFTPD < 1.3.6 Vulnerabilidades Mœltiples;192.168.36.110:63780;IP Externa;19-01-2024;19-05-2024;06-06-2024;36;19;Si;No;
10595;Confirmed;Medium;OpenSSH < 8.7 Vulnerabilidad de PAM;https://metrics.cl/zytahowdpvi;IP Externa;09-11-2024;29-07-2025;08-06-2024;58;56;Si;Si;
12353;Mitigated;Informational;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;8.116.210.140:16991;IP Interna;14-07-2024;17-06-2024;23-05-2024;0;0;No;Si;
14324;Confirmed;Informational;SSL/TLS: Certificado con Firma SHA-1 Obsoleta;10.220.131.42:9137;IP Interna;15-01-2025;23-11-2024;10-10-2024;0;0;No;Si;
69345;Confirmed;Medium;SSL/TLS: Certificado con Firma SHA-1 Obsoleta;23.26.211.201:48436;IP Externa;30-10-2024;23-04-2024;23-01-2024;61;43;Si;Si;
63480;Confirmed;High;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;192.168.158.175:14660;IP Externa;21-10-2025;05-04-2024;13-03-2024;78;71;Si;No;
14508;Mitigated;High;NetBIOS Name Service (NBT-NS) Spoofing;10.220.165.202:52855;IP Externa;19-02-2024;05-07-2024;05-03-2024;85;74;Si;No;
26205;Confirmed;Medium;SMB Signing Disabled o No Requerido;203.27.94.159:40263;IP Interna;02-06-2024;12-08-2024;14-10-2024;50;64;Si;No;
85979;Confirmed;Low;Java JRE < 8u301 Vulnerabilidades Mœltiples;192.168.58.183:63889;IP Interna;08-08-2025;18-09-2024;15-01-2025;35;26;Si;No;
70100;Confirmed;Medium;Servidor SMTP Expone Usuarios (VRFY / EXPN);8.116.210.140:50381;IP Interna;11-06-2024;20-01-2025;19-07-2025;57;61;Si;No;
48355;Confirmed;High;SSL/TLS: Vulnerabilidad 'CRIME';223.1.71.89:64409;IP Externa;02-08-2025;27-04-2024;20-02-2024;73;80;Si;No;
38120;Confirmed;Medium;OpenSSH < 8.7 Vulnerabilidad de PAM;192.168.70.45:16186;IP Externa;10-03-2024;19-09-2024;02-03-2025;46;52;Si;No;
67867;Reopened;Low;Jenkins < 2.303.1 Vulnerabilidades de Cross-Site Scripting (XSS);10.220.111.196:57649;IP Interna;08-04-2024;02-03-2024;18-02-2024;13;13;No;No;
42413;Mitigated;Critical;GitLab < 14.1.2 Remote Code Execution;192.168.85.200:34859;IP Externa;25-06-2024;11-01-2024;06-03-2025;94;96;Si;No;
20213;Confirmed;Medium;Privilegios de 'SeEnableTakeOwnershipPrivilege' Asignados a Usuarios No Administrativos;192.168.178.131:46550;IP Externa;14-05-2025;06-03-2025;18-07-2024;59;59;Si;No;
99441;Confirmed;Critical;Microsoft Windows SMBv1 Protocolo Obsoleto Detectado;192.168.243.111:15409;IP Externa;06-10-2024;16-09-2025;21-07-2024;94;93;Si;No;
37836;Confirmed;High;Microsoft Office: Missing Security Updates (Macros);http://coretech.cl/srz4q9y97nz;IP Externa;31-03-2024;08-02-2024;26-01-2024;79;76;Si;No;
21625;Reopened;High;VMware vCenter Server < 7.0 U2b Remote Code Execution;10.220.203.114:51309;IP Externa;03-06-2025;27-07-2025;15-02-2024;81;77;Si;No;
38206;Confirmed;Low;Permisos de /etc/passwd DŽbiles;10.220.234.27:67593;IP Externa;04-03-2025;08-08-2024;16-08-2024;37;22;Si;Si;
54498;Reopened;High;Servicio 'rlogin/rsh' Habilitado;10.220.4.66:35455;IP Externa;17-09-2024;07-06-2025;08-05-2024;87;81;Si;Si;
54731;Mitigated;Medium;SSL/TLS: Cifrados DŽbiles (RC4, 3DES) Habilitados;192.168.185.189:8803;IP Interna;24-05-2025;16-02-2024;14-08-2024;60;68;Si;Si;
13442;Confirmed;Low;SSL/TLS: Vulnerabilidad 'CRIME';192.168.17.231:10770;IP Externa;17-10-2024;10-08-2024;22-04-2024;30;15;Si;Si;
33314;Mitigated;Low;Dispositivo de Red: Contrase–a por Defecto Habilitada (admin/admin);192.168.108.250:6404;IP Externa;06-06-2024;04-11-2024;06-09-2024;26;30;Si;No;
59684;Confirmed;Low;Java JRE < 8u301 Vulnerabilidades Mœltiples;103.79.44.205:64958;IP Interna;05-05-2025;28-01-2025;21-08-2024;32;18;Si;No;
74717;Mitigated;Medium;SSL/TLS: Mismatch en el Nombre del Certificado (CN);192.168.239.168:13246;IP Externa;25-09-2025;05-05-2024;21-01-2024;53;53;No;No;
83360;Reopened;Low;SSL/TLS: Certificado Expirado;10.220.107.124:19888;IP Externa;27-08-2025;10-03-2025;20-07-2024;21;32;Si;Si;
72930;Mitigated;Medium;vsftpd < 3.0.3 Backdoor Command Execution;10.220.154.41:47730;IP Externa;12-02-2024;14-06-2024;14-09-2024;61;63;Si;No;
68246;Confirmed;High;Encabezado 'X-Content-Type-Options' No Encontrado (MIME Sniffing);http://cloudsys.cl/c8ap5h9zrmf;IP Externa;31-10-2024;21-08-2024;10-05-2024;85;86;Si;Si;
87599;Confirmed;High;Cisco IOS < 15.9(3)M Vulnerabilidad de Ejecuci—n Remota de C—digo;192.168.91.111:34906;IP Externa;05-01-2025;25-08-2025;18-03-2025;72;84;Si;No;
78879;Mitigated;Medium;SSL/TLS: Vulnerabilidad 'CRIME';10.220.252.166:42059;IP Externa;07-08-2024;17-07-2024;17-04-2024;52;47;Si;No;
53966;Confirmed;Medium;Jenkins < 2.303.1 Vulnerabilidades de Cross-Site Scripting (XSS);10.220.210.135:62051;IP Interna;27-02-2024;14-08-2024;20-10-2025;45;57;Si;No;
18591;Confirmed;Medium;Jenkins < 2.303.1 Vulnerabilidades de Cross-Site Scripting (XSS);10.220.29.130:63336;IP Externa;15-01-2024;13-06-2024;14-04-2024;63;63;Si;No;
36664;Confirmed;Medium;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;120.157.91.226:38049;IP Externa;13-06-2025;04-01-2024;30-03-2024;44;44;Si;No;
36641;Reopened;Medium;Microsoft RDP Client Remote Code Execution (CVE-2020-0655);192.168.9.60:7779;IP Externa;24-05-2024;30-08-2024;23-02-2024;50;54;Si;No;
29002;Confirmed;High;LLMNR y NBT-NS Habilitados (Riesgo de Spoofing);https://metrics.cl/ooc8wdjrvw;IP Externa;28-07-2024;01-09-2025;04-04-2024;72;89;Si;No;
54000;Confirmed;Low;Privilegios de 'SeEnableTakeOwnershipPrivilege' Asignados a Usuarios No Administrativos;192.168.100.70:61417;IP Externa;20-01-2024;29-05-2025;08-03-2024;32;36;Si;Si;
78271;Mitigated;Critical;Microsoft Windows SMBv3 Remote Code Execution (EternalBlue);https://metrics.cl/ijdnm2ts8234;IP Externa;14-10-2024;28-06-2024;03-07-2024;98;95;Si;Si;
77317;Mitigated;Low;Microsoft Office: Missing Security Updates (Macros);http://finanzascorp.cl/uo4ak6hp8;IP Externa;09-10-2025;24-02-2024;24-10-2025;37;36;Si;Si;
70691;Mitigated;Medium;PHP < 8.0.12 Vulnerabilidades Mœltiples;194.128.254.254:52121;IP Externa;23-11-2024;13-03-2024;31-07-2024;43;41;Si;No;
37356;Mitigated;Medium;TLSv1.1 Protocolo Obsoleto Habilitado;150.195.47.13:17235;IP Externa;11-01-2024;17-07-2024;05-01-2024;59;48;Si;No;
24474;Mitigated;Medium;SSL/TLS: Mismatch en el Nombre del Certificado (CN);222.160.134.127:22785;IP Interna;28-04-2024;18-11-2024;14-02-2025;44;64;Si;No;
91079;Confirmed;Low;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;10.220.210.135:62051;IP Interna;13-04-2025;30-07-2024;06-05-2024;30;22;Si;No;
46569;Mitigated;Low;SNMP Agent 'public' Community String Habilitado (Lectura);120.157.91.226:38049;IP Externa;23-07-2025;10-06-2025;23-03-2024;20;30;Si;Si;
58280;Mitigated;Low;SSL/TLS: Vulnerabilidad 'CRIME';192.168.74.144:18805;IP Externa;21-06-2024;01-05-2024;11-06-2025;24;22;Si;No;
70853;Confirmed;High;Windows Print Spooler Remote Code Execution (PrintNightmare);192.168.115.225:53089;IP Interna;12-01-2024;11-12-2024;03-09-2024;88;82;Si;No;
13023;Reopened;Low;Microsoft Windows SMBv3 Remote Code Execution (EternalBlue);192.168.151.176:28943;IP Externa;03-11-2024;04-10-2024;29-11-2024;14;19;Si;No;
91026;Mitigated;Medium;Samba < 4.13.17 Vulnerabilidades Mœltiples (SambaCry);120.157.91.226:38049;IP Externa;03-05-2024;30-01-2025;26-03-2024;50;51;Si;No;
38974;Confirmed;Medium;Servicio 'rlogin/rsh' Habilitado;192.168.51.180:1616;IP Externa;11-11-2024;15-08-2025;20-08-2025;47;41;Si;No;
95870;Confirmed;High;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;10.220.9.88:59978;IP Interna;20-11-2024;12-06-2025;16-02-2024;77;79;Si;No;
48383;Reopened;Low;Servicio 'Telnet' Habilitado;10.220.9.88:62029;IP Externa;25-03-2024;26-08-2025;30-07-2024;31;36;Si;No;
71186;Confirmed;Informational;NetBIOS Name Service (NBT-NS) Spoofing;10.220.75.246:59128;IP Externa;25-05-2025;24-01-2024;08-06-2024;0;0;No;No;
48553;Confirmed;High;Privilegios de 'SeEnableTakeOwnershipPrivilege' Asignados a Usuarios No Administrativos;10.220.210.135:62051;IP Interna;21-11-2024;09-01-2024;22-09-2025;86;85;Si;No;
36137;Confirmed;Critical;Servidor SMTP Permite 'Open Relay';206.90.11.91:63358;IP Externa;30-08-2024;24-09-2024;21-09-2024;97;98;Si;No;
41740;Confirmed;Medium;SSL/TLS: Certificado con Firma SHA-1 Obsoleta;10.220.80.249:36574;IP Interna;18-08-2025;22-01-2024;31-08-2024;63;63;Si;No;
65402;Confirmed;Critical;Servicio 'Telnet' Habilitado;10.220.206.42:33552;IP Externa;12-06-2025;20-02-2025;21-02-2024;92;98;Si;No;
92041;Confirmed;Critical;Servicio de 'Windows Update' Deshabilitado;192.168.132.205:33977;IP Interna;29-07-2025;10-09-2025;13-07-2024;97;93;Si;No;
88704;Confirmed;Low;Servidor FTP Permite Login An—nimo;https://sistemasweb.cl/bdbivsodp52;IP Externa;13-08-2024;01-09-2024;27-04-2025;11;21;Si;No;
48392;Confirmed;Low;Microsoft Windows LSA Secrets Caching (CVE-2021-36934);120.157.91.226:38049;IP Externa;11-03-2025;29-02-2024;12-04-2025;13;13;No;No;
65397;Confirmed;Informational;SSL/TLS: Cifrados 'Logjam' (Export-grade) Habilitados;https://accesototal.cl/83rxkyaie2;IP Externa;24-08-2025;10-03-2024;23-04-2025;0;0;No;No;
38193;Confirmed;Critical;Cisco Unified Communications Manager < 12.5(1)SU5 Vulnerabilidades Mœltiples;192.168.222.141:3913;IP Externa;31-01-2025;23-04-2025;14-06-2024;97;94;Si;No;
23195;Confirmed;Medium;vsftpd < 3.0.3 Backdoor Command Execution;http://visionglobal.cl/h7dw29t5d;IP Externa;23-09-2024;11-07-2025;20-07-2025;54;47;Si;No;
25839;Confirmed;High;Dispositivo de Red: Contrase–a por Defecto Habilitada (admin/admin);192.168.161.231:50282;IP Interna;28-11-2024;20-11-2024;22-06-2025;82;73;Si;No;
48903;Confirmed;Low;Node.js < 16.10.0 Vulnerabilidad de Contrabando de HTTP;10.220.234.27:6759;IP Interna;23-07-2024;03-01-2024;30-05-2024;14;12;Si;No;
70550;Reopened;High;SSL/TLS: Vulnerabilidad 'CRIME';203.27.94.159:38455;IP Externa;18-01-2024;10-03-2024;27-08-2024;75;86;Si;No;
80947;Confirmed;Medium;VMware vCenter Server < 7.0 U2b Remote Code Execution;173.244.10.166:59343;IP Externa;16-07-2024;31-08-2024;13-04-2024;69;68;Si;No;
75950;Confirmed;High;Java JRE < 8u301 Vulnerabilidades Mœltiples;10.220.9.88:3597;IP Interna;03-10-2024;15-02-2025;15-03-2024;75;74;Si;No;
16022;Confirmed;High;SSL/TLS: Certificado Autofirmado (Self-Signed);10.220.158.1:22711;IP Externa;30-07-2024;30-04-2025;22-05-2024;83;74;Si;No;
76841;Confirmed;Medium;Atlassian Confluence Server < 7.12.3 Remote Code Execution (OGNL);http://finanzascorp.cl/dnnr3lda;IP Externa;06-02-2025;02-05-2025;27-07-2024;67;51;Si;No;
16904;Reopened;Medium;Soporte para LM Hashes Habilitado en Active Directory;115.204.153.146:15665;IP Externa;08-06-2024;08-06-2024;17-10-2025;60;52;Si;No;
16802;Reopened;Critical;DNS Server Permite Transferencias de Zona (AXFR);10.220.144.208:3673;IP Externa;13-10-2025;14-11-2024;07-01-2024;90;93;Si;No;
38560;Confirmed;Low;Apache HTTP Server < 2.4.51 Vulnerabilidad de Path Traversal;148.168.116.65:34916;IP Externa;10-08-2024;12-09-2024;22-11-2024;11;12;Si;Si;
82951;Confirmed;High;GitLab < 14.1.2 Remote Code Execution;174.19.76.44:28688;IP Externa;13-11-2024;29-07-2024;15-06-2024;70;88;Si;No;
55156;Confirmed;High;Microsoft Office: Missing Security Updates (Macros);10.220.111.196:41800;IP Interna;29-09-2024;16-02-2024;02-04-2025;82;84;Si;No;
44799;Confirmed;Medium;Cisco IOS < 15.9(3)M Vulnerabilidad de Ejecuci—n Remota de C—digo;10.220.220.103:57537;IP Externa;28-01-2024;08-08-2024;05-02-2024;55;52;Si;No;
85666;Reopened;Critical;Python < 3.9.7 Vulnerabilidades Mœltiples;192.168.108.250:56540;IP Externa;05-01-2024;13-02-2024;15-04-2025;98;100;Si;No;
30807;Mitigated;Informational;Cisco Unified Communications Manager < 12.5(1)SU5 Vulnerabilidades Mœltiples;124.28.80.33:65113;IP Externa;22-01-2024;23-09-2025;14-06-2025;0;0;No;No;
28823;Confirmed;Low;Servidor FTP Permite Login An—nimo;192.168.243.111:6770;IP Externa;13-07-2024;21-01-2025;05-07-2025;22;30;Si;No;
24856;Reopened;High;Apache HTTP Server < 2.4.51 Vulnerabilidad de Path Traversal;10.220.61.204:34836;IP Interna;11-09-2024;25-10-2025;19-12-2024;73;83;Si;No;
30709;Confirmed;High;PostgreSQL < 13.4 Vulnerabilidades Mœltiples;120.157.91.226:38049;IP Externa;11-02-2024;09-10-2024;21-08-2025;74;85;Si;No;
45108;Confirmed;Critical;OpenSSH < 8.7 Vulnerabilidad de PAM;120.157.91.226:38049;IP Externa;14-05-2024;21-04-2024;12-03-2025;95;98;Si;No;
48597;Mitigated;High;SSL/TLS: Certificado con Firma SHA-1 Obsoleta;192.168.115.225:27784;IP Externa;29-10-2025;04-08-2024;20-04-2024;72;88;Si;No;
49976;Confirmed;Medium;Jenkins < 2.303.1 Vulnerabilidades de Cross-Site Scripting (XSS);192.168.165.164:64531;IP Externa;03-01-2024;20-08-2024;03-11-2024;43;61;Si;No;
